cik,ticker,name,fiscal_year,metric,expected_value,source_page,edgar_url
0000031235,KODK,Eastman Kodak Co,2010,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=31235&type=10-K&dateb=&owner=include&count=40
0000031235,KODK,Eastman Kodak Co,2024,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=31235&type=10-K&dateb=&owner=include&count=40
0000031235,KODK,Eastman Kodak Co,2024,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=31235&type=10-K&dateb=&owner=include&count=40
0000031235,KODK,Eastman Kodak Co,2024,stockholders_equity,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=31235&type=10-K&dateb=&owner=include&count=40
0000031235,KODK,Eastman Kodak Co,2024,total_assets,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=31235&type=10-K&dateb=&owner=include&count=40
0000022444,CMC,Commercial Metals Co,2018,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=22444&type=10-K&dateb=&owner=include&count=40
0000022444,CMC,Commercial Metals Co,2024,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=22444&type=10-K&dateb=&owner=include&count=40
0000022444,CMC,Commercial Metals Co,2024,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=22444&type=10-K&dateb=&owner=include&count=40
0000022444,CMC,Commercial Metals Co,2024,stockholders_equity,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=22444&type=10-K&dateb=&owner=include&count=40
0000022444,CMC,Commercial Metals Co,2024,total_assets,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=22444&type=10-K&dateb=&owner=include&count=40
0000096869,TRC,Tejon Ranch Co,2016,pretax_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=96869&type=10-K&dateb=&owner=include&count=40
0000096869,TRC,Tejon Ranch Co,2024,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=96869&type=10-K&dateb=&owner=include&count=40
0000096869,TRC,Tejon Ranch Co,2024,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=96869&type=10-K&dateb=&owner=include&count=40
0000096869,TRC,Tejon Ranch Co,2024,stockholders_equity,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=96869&type=10-K&dateb=&owner=include&count=40
0000096869,TRC,Tejon Ranch Co,2024,total_assets,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=96869&type=10-K&dateb=&owner=include&count=40
0000077877,PDCE,PDC Energy Inc,2016,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=77877&type=10-K&dateb=&owner=include&count=40
0000077877,PDCE,PDC Energy Inc,2024,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=77877&type=10-K&dateb=&owner=include&count=40
0000077877,PDCE,PDC Energy Inc,2024,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=77877&type=10-K&dateb=&owner=include&count=40
0000077877,PDCE,PDC Energy Inc,2024,stockholders_equity,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=77877&type=10-K&dateb=&owner=include&count=40
0000077877,PDCE,PDC Energy Inc,2024,total_assets,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=77877&type=10-K&dateb=&owner=include&count=40
0000704532,NANO,Nanometrics Inc,2019,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=704532&type=10-K&dateb=&owner=include&count=40
0000704532,NANO,Nanometrics Inc,2024,net_income,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=704532&type=10-K&dateb=&owner=include&count=40
0000704532,NANO,Nanometrics Inc,2024,revenue,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=704532&type=10-K&dateb=&owner=include&count=40
